date,Apple_Price,Apple_Vol.,sentiment_class
01-10-22,172.19,106770000.0,0.048
01-07-22,172.17,86710000.0,0.0
01-06-22,172.0,96900000.0,-0.007
01-05-22,174.92,94540000.0,-0.066
01-04-22,179.7,99310000.0,0.085
01-03-22,182.01,104700000.0,0.226
12-31-21,177.57,64060000.0,0.095
12-30-21,178.2,59770000.0,0.03
12-29-21,179.38,62350000.0,0.0
12-28-21,179.29,79140000.0,0.05
12-27-21,180.33,74920000.0,0.0
12-23-21,176.28,68360000.0,-0.027
12-22-21,175.64,92140000.0,0.203
12-21-21,172.99,91190000.0,0.009
12-20-21,169.75,107500000.0,0.0699999999999999
12-17-21,171.14,195920000.0,0.071
12-16-21,172.26,150190000.0,-0.085
12-15-21,179.3,131060000.0,0.0139999999999999
12-14-21,174.33,139380000.0,0.074
12-13-21,175.74,153240000.0,-0.0029999999999999
12-10-21,179.45,115400000.0,0.0
12-09-21,174.56,108920000.0,0.083
12-08-21,175.08,117000000.0,0.184
12-07-21,171.18,120410000.0,-0.022
12-06-21,165.32,107500000.0,0.043
12-03-21,161.84,118020000.0,-0.127
12-02-21,163.76,136740000.0,0.071
12-01-21,164.77,152420000.0,0.027
11-30-21,165.3,174050000.0,-0.0409999999999999
11-29-21,160.24,88750000.0,0.102
11-24-21,161.94,69460000.0,0.019
11-23-21,161.41,96040000.0,0.063
11-22-21,161.02,117470000.0,0.1229999999999999
11-19-21,160.55,117310000.0,0.0
11-18-21,157.87,137830000.0,0.015
11-17-21,153.49,88810000.0,-0.0169999999999999
11-16-21,151.0,59260000.0,0.0369999999999999
11-15-21,150.0,59220000.0,0.119
11-12-21,149.99,63800000.0,-0.231
11-11-21,147.87,41000000.0,0.106
11-10-21,147.92,65190000.0,0.253
11-09-21,150.81,56790000.0,0.009
11-08-21,150.44,55020000.0,0.082
11-05-21,151.28,65459999.99999999,0.15
11-04-21,150.96,60400000.0,0.077
11-03-21,151.49,54510000.0,0.0
11-02-21,150.02,69120000.0,0.093
11-01-21,148.96,74590000.0,0.279
10-29-21,149.8,124950000.0,0.0559999999999999
10-28-21,152.57,100080000.0,0.027
10-27-21,148.85,56100000.0,0.075
10-26-21,149.32,60890000.0,-0.248
10-25-21,148.64,50720000.0,0.135
10-22-21,148.69,58880000.0,0.052
10-21-21,149.48,61420000.0,-0.134
10-20-21,149.26,58420000.0,-0.024
10-19-21,148.76,76380000.0,0.0
10-18-21,146.55,85590000.0,0.121
10-15-21,144.84,67940000.0,-0.005
10-14-21,143.76,69910000.0,0.128
10-13-21,140.91,78760000.0,0.0
10-12-21,141.51,73040000.0,0.0
10-11-21,142.81,64450000.0,-0.009
10-08-21,142.9,58770000.0,-0.037
10-07-21,143.29,61730000.0,0.06
10-06-21,142.0,83220000.0,-0.0119999999999999
10-05-21,141.11,80860000.0,0.063
10-04-21,139.14,98320000.0,0.26
10-01-21,142.65,94640000.0,0.152
09-30-21,141.5,89060000.0,-0.309
09-29-21,142.83,74600000.0,-0.045
09-28-21,141.91,108970000.0,0.0399999999999999
09-27-21,145.37,74150000.0,-0.0479999999999999
09-24-21,146.92,53480000.0,0.195
09-23-21,146.83,64840000.0,0.088
09-22-21,145.85,76400000.0,0.073
09-21-21,143.43,75830000.0,0.026
09-20-21,142.94,123480000.0,-0.076
09-17-21,146.06,129870000.0,-0.0049999999999999
09-16-21,148.79,68030000.0,0.162
09-15-21,149.03,83280000.0,0.034
09-14-21,148.12,109300000.0,0.089
09-13-21,149.55,102400000.0,0.0
09-10-21,148.97,140890000.0,0.046
09-09-21,154.07,57310000.0,0.0699999999999999
09-08-21,155.11,74420000.0,0.0
09-03-21,154.3,57870000.0,0.0
09-02-21,153.65,71170000.0,0.159
09-01-21,152.51,80310000.0,0.063
08-31-21,151.83,86450000.0,0.005
08-30-21,153.12,90960000.0,0.013
08-27-21,148.6,55800000.0,0.0139999999999999
08-26-21,147.54,48600000.0,0.0
08-25-21,148.36,58990000.0,0.024
08-24-21,149.62,48610000.0,0.009
08-23-21,149.71,60130000.0,0.058
08-20-21,148.19,60550000.0,-0.124
08-19-21,146.7,86960000.0,-0.0129999999999999
08-18-21,146.36,86330000.0,0.0
08-17-21,150.19,92230000.0,0.0
08-16-21,151.12,103560000.0,0.0
08-13-21,149.1,59380000.0,-0.0139999999999999
08-12-21,148.89,73780000.0,0.0
08-11-21,145.86,48490000.0,0.041
08-10-21,145.6,69020000.0,0.074
08-09-21,146.09,48910000.0,0.092
08-06-21,146.14,54130000.0,-0.183
08-05-21,147.06,46400000.0,-0.055
08-04-21,146.95,56370000.0,0.0
08-03-21,147.36,64790000.00000001,0.0
08-02-21,145.52,62880000.0,-0.0139999999999999
07-30-21,145.86,70440000.0,-0.163
07-29-21,145.64,56700000.0,-0.148
07-28-21,144.98,118930000.0,0.022
07-27-21,146.77,104820000.0,0.071
07-26-21,148.99,72430000.0,0.088
07-23-21,148.56,71450000.0,0.119
07-22-21,146.8,77340000.0,0.069
07-21-21,145.4,74990000.0,0.058
07-20-21,146.15,96350000.0,0.022
07-19-21,142.45,121440000.0,0.0379999999999999
07-16-21,146.39,93250000.0,0.079
07-15-21,148.48,106820000.0,0.084
07-14-21,149.15,127050000.0,0.106
07-13-21,145.64,100830000.0,0.0
07-12-21,144.5,76300000.0,0.0999999999999999
07-09-21,145.11,99890000.0,0.0779999999999999
07-08-21,143.24,105580000.0,0.0
07-07-21,144.57,104910000.0,0.0069999999999999
07-02-21,139.96,78950000.0,0.065
07-01-21,137.27,52490000.0,0.066
06-30-21,136.96,63260000.0,0.0119999999999999
06-29-21,136.33,64560000.0,0.0
06-28-21,134.78,62110000.0,0.118
06-25-21,133.11,70780000.0,-0.019
06-24-21,133.41,68710000.0,0.043
06-23-21,133.7,60210000.0,0.185
06-22-21,133.98,74780000.0,0.096
06-21-21,132.3,79660000.0,0.059
06-18-21,130.46,108950000.0,0.073
06-17-21,131.79,96720000.0,0.158
06-16-21,130.15,91820000.0,0.09
06-15-21,129.64,62750000.0,0.055
06-14-21,130.48,96910000.0,-0.081
06-11-21,127.35,53520000.0,0.064
